Model,Prix,Annee,Kilometrage,Boite_Vitesse,Energie,Controle_Technique,Premiere Main,Portes,Places,Puissance
LAND ROVER RANGE ROVER SPORT II phase 2,70830,2021,92235,Automatique,Hybrides,Non requis,Oui,5,5,17
,70830,2021,92235,Automatique,Hybrides,Non requis,Oui,5,5,17
RENAULT MEGANE IV,15150,2021,94858,Automatique,Diesel,Non requis,Oui,5,5,6
VOLKSWAGEN CALIFORNIA T6,93140,2024,121,Automatique,Diesel,Non requis,Non,4,4,7
SKODA SUPERB III,25900,2019,73980,Automatique,Essence,Non requis,Non,5,5,8
PEUGEOT 3008 II,28980,2020,83766,Automatique,Diesel,Non requis,Oui,5,5,6
LEXUS IS III phase 2,35010,2020,66395,Automatique,Hybrides,Non requis,Non,4,5,9
,35010,2020,66395,Automatique,Hybrides,Non requis,Non,4,5,9
PEUGEOT 3008 II,22480,2019,118652,Automatique,Essence,Non requis,Non,5,5,9
AUDI RS4 V AVANT phase 2,121980,2021,64551,Automatique,Essence,Non requis,Non,5,5,34
VOLKSWAGEN T-CROSS,27090,2023,18069,Manuelle,Essence,Non requis,Oui,5,5,6
OPEL CROSSLAND X,18680,2020,104625,Automatique,Essence,Non requis,Non,5,5,6
PEUGEOT E-208 II,30500,2021,57535,Automatique,Électrique,Non requis,Non,5,5,4
OPEL CROSSLAND phase 2,22550,2022,41308,Manuelle,Essence,Non requis,Oui,5,5,6
AUDI A6 V AVANT,63490,2022,60359,Automatique,Hybrides,Non requis,Oui,5,5,16
FORD TRANSIT CUSTOM II phase 2,57240,2024,1,Automatique,Diesel,Non requis,Oui,4,4,7
SUZUKI S-CROSS,39540,2023,59,Automatique,Essence,Non requis,Non,5,5,5
RENAULT MEGANE IV phase 2,23350,2022,45548,Manuelle,Diesel,Non requis,Non,5,5,6
MINI COUNTRYMAN II,30560,2019,65431,Manuelle,Essence,Requis,Oui,5,5,11
,30560,2019,65431,Manuelle,Essence,Requis,Oui,5,5,11
BMW X1 U11,43010,2023,32146,Automatique,Essence,Non requis,Non,5,5,7
VOLKSWAGEN T-CROSS,25810,2020,115129,Automatique,Diesel,Non requis,Non,5,5,5
CITROEN E-C4 III,33550,2023,21145,Automatique,Électrique,Non requis,Non,5,5,4
VOLKSWAGEN PASSAT 8 SW,27120,2020,70383,Manuelle,Diesel,Non requis,Oui,5,5,7
BMW SERIE 2 F44 GRAN COUPE,32790,2021,17963,Automatique,Essence,Non requis,Non,4,5,7
,32790,2021,17963,Automatique,Essence,Non requis,Non,4,5,7
RENAULT MASTER III,31330,2019,70064,Manuelle,Diesel,Requis,Oui,4,6,6
AUDI Q3 II,47950,2023,26561,Automatique,Essence,Non requis,Oui,5,5,8
CITROEN C5 AIRCROSS phase 2,32110,2024,4,Manuelle,Essence,Non requis,Non,5,5,7
VOLKSWAGEN GOLF 8,31330,2020,82833,Automatique,Diesel,Non requis,Oui,5,5,10
VOLKSWAGEN TOUAREG III R,92640,2021,55561,Automatique,Hybrides,Non requis,Non,5,5,22
PORSCHE PANAMERA II SPORT TURISMO phase 2,179680,2021,3480,Automatique,Hybrides,Non requis,Non,5,4,33
DODGE RAM,140160,2023,9428,Automatique,Essence,Non requis,Oui,4,4,32
DS DS 3 CROSSBACK,30490,2023,11,Manuelle,Essence,Non requis,Non,4,4,5
VOLKSWAGEN GOLF 8,30230,2021,66243,Automatique,Diesel,Non requis,Oui,5,5,8
RENAULT CLIO V,21240,2022,14944,Automatique,Hybrides,Non requis,Oui,5,5,5
VOLKSWAGEN GOLF 7,26420,2020,28420,Automatique,Essence,Non requis,Non,5,5,8
,26420,2020,28420,Automatique,Essence,Non requis,Non,5,5,8
DACIA DUSTER 2,27500,2023,11,Automatique,Essence,Non requis,Non,5,5,8
VOLKSWAGEN TOURAN III,28740,2019,98250,Automatique,Essence,Requis,Oui,5,5,8
RENAULT MEGANE IV SOCIETE,13540,2021,84342,Manuelle,Diesel,Non requis,Oui,5,2,6
BMW SERIE 3 F31 TOURING phase 2,43730,2020,82986,Automatique,Diesel,Non requis,Non,5,5,10
BMW SERIE 3 G21 TOURING,32020,2021,112000,Automatique,Diesel,Non requis,Non,5,5,10
,32020,2021,112000,Automatique,Diesel,Non requis,Non,5,5,10
NISSAN JUKE II,23350,2021,31980,Manuelle,Essence,Non requis,Non,5,5,6
MERCEDES GLC COUPE phase 2,55970,2021,67194,Automatique,Diesel,Non requis,Oui,5,5,11
CITROEN C3 III phase 2,19760,2022,57583,Automatique,Essence,Non requis,Non,5,5,6
PEUGEOT 3008 II,23870,2020,47322,Manuelle,Essence,Non requis,Oui,5,5,7
FORD TRANSIT CUSTOM phase 2,23310,2020,77245,Manuelle,Diesel,Non requis,Oui,4,3,7
VOLKSWAGEN TIGUAN 2,35140,2020,26086,Manuelle,Diesel,Non requis,Oui,5,3,8
MERCEDES CLASSE C IV SW,36870,2019,82110,Automatique,Essence,Non requis,Non,5,5,11
KIA NIRO phase 2,29380,2021,47986,Automatique,Hybrides,Non requis,Oui,5,5,5
MERCEDES CLASSE V II LONG phase 2,74330,2020,55749,Automatique,Diesel,Non requis,Non,5,6,11
VOLKSWAGEN GOLF VII GTI phase 2,42160,2020,50798,Automatique,Essence,Non requis,Oui,5,5,18
CITROEN C5 AIRCROSS,31180,2023,19078,Manuelle,Essence,Non requis,Oui,5,5,7
,31180,2023,19078,Manuelle,Essence,Non requis,Oui,5,5,7
CUPRA ATECA,42220,2020,85910,Automatique,Essence,Non requis,Non,5,5,19
PEUGEOT 3008 II phase 2,34390,2022,60645,Automatique,Diesel,Non requis,Oui,5,5,7
AUDI A3 IV SPORTBACK,43950,2023,20764,Automatique,Essence,Non requis,Non,5,5,8
JEEP GRAND CHEROKEE IV phase 3,77980,2020,66000,Automatique,Essence,Non requis,Oui,5,5,38
RENAULT ARKANA,34140,2022,39130,Automatique,Hybrides,Non requis,Oui,5,5,5
,34140,2022,39130,Automatique,Hybrides,Non requis,Oui,5,5,5
PEUGEOT 308 II SW phase 2,19180,2021,71416,Manuelle,Essence,Non requis,Oui,5,5,6
FIAT PANDA III phase 2,16640,2022,27070,Manuelle,Essence,Non requis,Oui,5,5,4
FIAT 500 III,17820,2022,44526,Manuelle,Essence,Non requis,Non,3,4,4
CITROEN C5 X,40410,2024,11,Automatique,Hybrides,Non requis,Non,5,5,10
CITROEN GRAND C4 SPACETOURER,29660,2023,19811,Automatique,Diesel,Non requis,Non,5,7,7
RENAULT SCENIC IV,19330,2019,91960,Automatique,Essence,Requis,Oui,5,5,7
DS 3 CROSSBACK,25410,2022,35227,Manuelle,Diesel,Non requis,Non,5,5,6
PEUGEOT 508 II SW,35980,2021,57259,Automatique,Essence,Non requis,Non,5,5,10
PORSCHE CAYENNE III,88780,2020,87690,Automatique,Hybrides,Non requis,Non,5,5,20
PEUGEOT 208 phase 2,18860,2020,65242,Automatique,Essence,Non requis,Oui,5,5,6
HYUNDAI TUCSON III phase 2,33490,2021,80291,Automatique,Diesel,Non requis,Non,5,5,7
,33490,2021,80291,Automatique,Diesel,Non requis,Non,5,5,7
MINI COUNTRYMAN II,27710,2019,93196,Manuelle,Essence,Requis,Non,5,5,7
AUDI A3 (3E GENERATION) SPORTBACK,27580,2019,53554,Automatique,Essence,Requis,Non,5,5,6
IVECO DAILY 5,54580,2024,1,Manuelle,Diesel,Non requis,Oui,5,5,10
BMW SERIE 3 F31 TOURING phase 2,28060,2019,100620,Automatique,Diesel,Requis,Non,5,5,10
PEUGEOT 208 II,25390,2024,5372,Manuelle,Essence,Non requis,Oui,4,5,5
,25390,2024,5372,Manuelle,Essence,Non requis,Oui,4,5,5
OPEL ZAFIRA LIFE,59380,2021,62370,Automatique,Diesel,Non requis,Non,5,7,9
RENAULT CAPTUR phase 2,15560,2019,73149,Automatique,Diesel,Requis,Non,5,5,5
BMW SERIE 1 F40,31530,2020,58488,Manuelle,Diesel,Non requis,Oui,5,5,6
AUDI A3 IV SPORTBACK,47070,2023,24971,Automatique,Diesel,Non requis,Oui,5,5,8
MAZDA MX5 IV ST phase 2,30770,2020,39467,Manuelle,Essence,Non requis,Oui,2,2,10
FIAT TIPO 2,24140,2022,11920,Manuelle,Essence,Non requis,Non,5,2,5
BMW SERIE 5 G31 TOURING,40930,2020,113784,Automatique,Diesel,Non requis,Non,5,5,10
AUDI Q3 II,36460,2020,57044,Automatique,Diesel,Non requis,Non,5,5,8
VOLKSWAGEN T-CROSS,27550,2023,19888,Manuelle,Essence,Non requis,Oui,5,5,6
CITROEN C3 (3E GENERATION),23330,2023,10579,Automatique,Essence,Non requis,Non,5,5,6
VOLKSWAGEN TIGUAN 2,25820,2019,84866,Manuelle,Essence,Requis,Non,5,5,8
,25820,2019,84866,Manuelle,Essence,Requis,Non,5,5,8
PEUGEOT E-208 II,25030,2021,40288,Automatique,Électrique,Non requis,Oui,5,5,4
RENAULT MEGANE IV,17740,2019,129420,Automatique,Diesel,Requis,Non,5,5,8
RENAULT SCENIC IV,18360,2021,105834,Manuelle,Diesel,Non requis,Oui,5,5,6
HYUNDAI IONIQ phase 2,32480,2021,40716,Automatique,Hybrides,Non requis,Oui,5,5,3
AUDI Q2,25470,2019,89048,Manuelle,Diesel,Requis,Oui,5,5,6
,25470,2019,89048,Manuelle,Diesel,Requis,Oui,5,5,6
PORSCHE 911 TYPE 992,208930,2021,28024,Automatique,Essence,Non requis,Oui,2,4,34
SKODA KODIAQ,25090,2020,71028,Manuelle,Essence,Non requis,Oui,5,7,8
CITROEN C3 III,16660,2021,30163,Manuelle,Essence,Non requis,Oui,5,5,4
OPEL CORSA VI,21580,2022,35680,Manuelle,Essence,Non requis,Oui,5,5,5
DACIA SANDERO 3 STEPWAY,21000,2023,12,Manuelle,Bicarburation essence / gpl,Non requis,Non,5,5,5
LAND ROVER RANGE ROVER SPORT II phase 2,79230,2020,100625,Automatique,Hybrides,Non requis,Oui,5,5,17
RENAULT ARKANA,26980,2022,19139,Automatique,Essence,Non requis,Non,5,5,7
KIA E-NIRO phase 2,36260,2021,46520,Automatique,Électrique,Non requis,Non,5,5,1
SEAT ARONA,26360,2023,6163,Automatique,Essence,Non requis,Non,5,5,6
RENAULT MASTER III phase 2,40440,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,8
AUDI Q3 II SPORTBACK,47980,2021,75234,Automatique,Diesel,Non requis,Oui,5,5,8
,47980,2021,75234,Automatique,Diesel,Non requis,Oui,5,5,8
PEUGEOT 208 (2E GENERATION),29130,2023,2401,Automatique,Essence,Non requis,Non,5,5,7
OPEL ASTRA VI,38850,2024,1,Automatique,Hybrides,Non requis,Oui,5,5,8
AUDI A6 (5E GENERATION) AVANT,55060,2020,59452,Automatique,Diesel,Non requis,Oui,5,5,17
MERCEDES CLA SHOOTING BRAKE phase 2,28870,2019,58555,Automatique,Diesel,Non requis,Oui,5,5,7
BMW SERIE 2 F44 GRAN COUPE,45080,2022,21190,Automatique,Diesel,Non requis,Non,4,5,10
,45080,2022,21190,Automatique,Diesel,Non requis,Non,4,5,10
CITROEN C3 AIRCROSS,18220,2020,58363,Manuelle,Diesel,Non requis,Non,5,5,5
JAGUAR XF 2 SPORTBRAKE,41280,2019,100123,Automatique,Diesel,Requis,Oui,5,5,19
PORSCHE 911 TYPE 992,177010,2021,29159,Automatique,Essence,Non requis,Oui,2,4,28
NISSAN MICRA V,16560,2023,11200,Manuelle,Essence,Non requis,Oui,5,5,5
DACIA DUSTER II,18880,2021,81216,Manuelle,Diesel,Non requis,Non,5,5,6
OPEL CROSSLAND X,20860,2021,61555,Manuelle,Diesel,Non requis,Oui,5,5,5
AUDI SQ2,39570,2020,58743,Automatique,Essence,Non requis,Non,5,5,19
MAZDA MX5 IV ST phase 2,28300,2020,39580,Manuelle,Essence,Non requis,Non,2,2,10
KIA E-NIRO,28230,2020,57742,Automatique,Électrique,Non requis,Oui,5,5,1
DACIA SANDERO 2,9410,2019,62529,Manuelle,Essence,Requis,Non,5,5,4
BMW X5 G05,70620,2020,142380,Automatique,Hybrides,Non requis,Oui,5,5,15
,70620,2020,142380,Automatique,Hybrides,Non requis,Oui,5,5,15
RENAULT CAPTUR II,21570,2021,105994,Automatique,Essence,Non requis,Oui,5,5,7
NISSAN X-TRAIL III phase 2,18170,2019,151881,Manuelle,Diesel,Requis,Non,5,7,7
FORD FIESTA VI,19180,2020,30928,Manuelle,Essence,Non requis,Non,5,5,5
FIAT TIPO II phase 2,17380,2021,78307,Manuelle,Diesel,Non requis,Oui,5,5,6
BMW SERIE 1 F20 5 PORTES phase 2,30480,2020,137860,Automatique,Diesel,Non requis,Non,5,5,10
,30480,2020,137860,Automatique,Diesel,Non requis,Non,5,5,10
PORSCHE MACAN phase 2,88380,2020,42468,Automatique,Essence,Non requis,Non,5,5,25
RENAULT MEGANE IV ESTATE phase 2,16280,2021,95888,Manuelle,Diesel,Non requis,Oui,5,5,6
PEUGEOT 208 II,20490,2023,7145,Manuelle,Essence,Non requis,Non,5,5,5
VOLKSWAGEN POLO VI,14950,2020,156576,Manuelle,Diesel,Non requis,Non,5,5,4
CITROEN C3 AIRCROSS phase 2,28570,2024,5212,Automatique,Essence,Non requis,Non,5,5,7
AUDI Q7 II phase 2,92630,2021,71805,Automatique,Hybrides,Non requis,Non,5,5,22
SKODA KODIAQ,36960,2022,36815,Automatique,Diesel,Non requis,Oui,5,5,8
CITROEN C5 AIRCROSS,18970,2020,65098,Manuelle,Essence,Non requis,Non,5,5,7
NISSAN LEAF II phase 2,23460,2022,31860,Automatique,Électrique,Non requis,Non,5,5,6
LAND ROVER RANGE ROVER IV phase 2,108890,2020,68970,Automatique,Hybrides,Non requis,Oui,5,5,17
AUDI RS6 IV AVANT,133730,2021,76855,Automatique,Essence,Non requis,Oui,5,5,53
,133730,2021,76855,Automatique,Essence,Non requis,Oui,5,5,53
PEUGEOT 308 III,39010,2024,1,Automatique,Essence,Non requis,Oui,5,5,7
MERCEDES CLASSE B II phase 2,20310,2019,46566,Automatique,Diesel,Non requis,Non,5,5,5
DS 3 CROSSBACK,31700,2021,57950,Automatique,Électrique,Non requis,Oui,5,5,4
AUDI Q3 II,52630,2023,22406,Automatique,Essence,Non requis,Oui,5,5,8
PEUGEOT 208 phase 2,16760,2019,3150,Manuelle,Essence,Requis,Oui,5,5,5
,16760,2019,3150,Manuelle,Essence,Requis,Oui,5,5,5
VOLVO XC40,38740,2020,111378,Automatique,Diesel,Non requis,Non,5,5,10
PEUGEOT 208 phase 2,13210,2020,66046,Manuelle,Essence,Non requis,Oui,5,5,4
BMW SERIE 3 G21 TOURING,29730,2021,254898,Automatique,Diesel,Non requis,Oui,5,5,10
CITROEN C3 III phase 2,15940,2022,14006,Manuelle,Essence,Non requis,Oui,5,5,4
RENAULT CAPTUR 2,27120,2024,11,Manuelle,Essence,Non requis,Non,5,5,5
CITROEN C5 AIRCROSS,30220,2021,83943,Automatique,Hybrides,Non requis,Oui,5,5,10
VOLKSWAGEN T-ROC,32010,2022,65371,Automatique,Essence,Non requis,Oui,5,5,8
PEUGEOT 208 II,23970,2023,19889,Manuelle,Diesel,Non requis,Non,5,5,5
PORSCHE 911 TYPE 992,182590,2021,30975,Automatique,Essence,Non requis,Non,2,4,34
DACIA SANDERO 2 STEPWAY,12500,2019,121982,Manuelle,Diesel,Requis,Non,5,4,5
VOLKSWAGEN TIGUAN II,30210,2020,103601,Automatique,Diesel,Non requis,Oui,5,5,11
,30210,2020,103601,Automatique,Diesel,Non requis,Oui,5,5,11
AUDI A1 II SPORTBACK,36700,2023,15766,Automatique,Essence,Non requis,Oui,5,5,6
CITROEN C3 III phase 2,17340,2021,40566,Manuelle,Diesel,Non requis,Non,5,5,5
PEUGEOT 3008 II phase 2,42460,2023,12,Automatique,Diesel,Non requis,Non,5,5,7
AUDI Q5 II,39220,2019,93628,Automatique,Diesel,Requis,Non,5,5,9
KIA NIRO II,53860,2024,15588,Automatique,Électrique,Non requis,Non,5,5,4
,53860,2024,15588,Automatique,Électrique,Non requis,Non,5,5,4
AUDI A4 V,29100,2020,91401,Automatique,Diesel,Non requis,Oui,4,5,7
MAZDA MX5 IV ST,24970,2020,41953,Manuelle,Essence,Non requis,Oui,2,2,7
PEUGEOT 208 II,20140,2021,32859,Manuelle,Essence,Non requis,Oui,5,5,5
CITROEN GRAND C4 SPACETOURER,22860,2020,95805,Automatique,Diesel,Non requis,Non,5,7,6
AUDI A4 V phase 2,35980,2020,29449,Automatique,Diesel,Non requis,Oui,4,5,7
SEAT ARONA,27560,2023,13369,Automatique,Essence,Non requis,Non,5,5,6
PEUGEOT 208 (2E GENERATION),23520,2022,24186,Automatique,Essence,Non requis,Oui,5,5,7
LAND ROVER RANGE ROVER VELAR,121920,2021,33674,Automatique,Essence,Non requis,Non,5,5,47
RENAULT CAPTUR II,31140,2022,48438,Automatique,Hybrides,Non requis,Oui,5,5,5
RENAULT MEGANE IV phase 2,24820,2022,21740,Automatique,Diesel,Non requis,Non,5,5,6
DACIA SANDERO II STEPWAY phase 2,11550,2019,92002,Manuelle,Diesel,Non requis,Oui,5,5,4
,11550,2019,92002,Manuelle,Diesel,Non requis,Oui,5,5,4
LEXUS UX,32170,2021,43882,Automatique,Hybrides,Non requis,Oui,5,5,7
LAND ROVER RANGE ROVER EVOQUE II,53180,2020,30800,Automatique,Diesel,Non requis,Oui,5,5,10
SUZUKI SWIFT IV SPORT,23120,2022,52979,Manuelle,Essence,Non requis,Oui,5,5,7
VOLVO V90 (2E GENERATION),65280,2022,7148,Automatique,Hybrides,Non requis,Non,5,5,15
FIAT 500 (2E GENERATION),17360,2022,13862,Manuelle,Hybrides,Non requis,Non,3,5,4
,17360,2022,13862,Manuelle,Hybrides,Non requis,Non,3,5,4
CITROEN C3 AIRCROSS,27480,2022,57436,Manuelle,Essence,Non requis,Non,5,5,6
VOLKSWAGEN CALIFORNIA T6,83130,2024,108,Automatique,Diesel,Non requis,Non,4,4,7
VOLVO XC90 II phase 2,87900,2022,49507,Automatique,Hybrides,Non requis,Non,5,7,19
PORSCHE CAYENNE III phase 2,142890,2024,1650,Automatique,Hybrides,Non requis,Oui,5,4,22
NISSAN QASHQAI 3,30410,2023,30648,Manuelle,Hybrides,Non requis,Non,5,4,7
BMW SERIE 1 F40,40760,2021,65183,Automatique,Diesel,Non requis,Oui,5,5,10
SKODA KODIAQ phase 2,42900,2023,20646,Automatique,Diesel,Non requis,Oui,5,5,8
FORD RANGER III phase 2,33620,2020,73157,Manuelle,Diesel,Non requis,Non,2,4,7
RENAULT KADJAR phase 2,25060,2021,64913,Automatique,Essence,Non requis,Oui,5,5,7
VOLVO XC40,41420,2021,48775,Automatique,Diesel,Non requis,Non,5,5,10
LAND ROVER RANGE ROVER SPORT II phase 2,67060,2019,78947,Automatique,Diesel,Non requis,Non,5,5,14
,67060,2019,78947,Automatique,Diesel,Non requis,Non,5,5,14
CITROEN GRAND C4 SPACETOURER,32380,2021,15660,Manuelle,Diesel,Non requis,Non,5,7,7
KIA E-NIRO phase 2,30340,2021,42217,Automatique,Électrique,Non requis,Non,5,5,1
CITROEN C4 (3E GENERATION),28480,2023,11,Manuelle,Essence,Non requis,Oui,5,5,7
CITROEN C3 III phase 2,17420,2023,11,Manuelle,Essence,Non requis,Non,5,5,4
VOLKSWAGEN T-ROC,24490,2020,51880,Manuelle,Diesel,Non requis,Oui,5,5,6
,24490,2020,51880,Manuelle,Diesel,Non requis,Oui,5,5,6
FIAT 500 X phase 2,25280,2020,37389,Automatique,Essence,Non requis,Non,5,5,8
LAND ROVER DEFENDER IV UTILITAIRE,92370,2023,19264,Automatique,Diesel,Non requis,Oui,3,3,10
PEUGEOT E-208 II,34420,2022,18579,Automatique,Électrique,Non requis,Oui,5,5,4
RENAULT SCENIC IV,24580,2020,106009,Manuelle,Essence,Non requis,Non,5,5,8
PEUGEOT 308 II phase 2,17190,2019,54781,Manuelle,Essence,Requis,Oui,5,5,6
PEUGEOT 308 II phase 2,22780,2022,62652,Automatique,Essence,Non requis,Oui,5,5,7
PORSCHE CAYENNE III COUPE,190380,2021,69020,Automatique,Hybrides,Non requis,Non,5,5,42
PEUGEOT 208 II,25280,2023,21551,Manuelle,Diesel,Non requis,Oui,5,5,5
PEUGEOT BOXER II phase 2,39850,2023,1230,Manuelle,Diesel,Non requis,Non,4,3,7
BMW SERIE 5 G31 TOURING,60440,2020,73450,Automatique,Diesel,Non requis,Non,5,5,20
KIA EV6,50940,2023,22109,Automatique,Électrique,Non requis,Non,5,5,4
,50940,2023,22109,Automatique,Électrique,Non requis,Non,5,5,4
DACIA SANDERO II STEPWAY phase 2,14750,2019,56439,Manuelle,Diesel,Requis,Oui,5,5,4
PEUGEOT 5008 II,37600,2021,89024,Automatique,Diesel,Non requis,Non,5,7,6
BMW X2 F39,29980,2020,173480,Automatique,Diesel,Non requis,Oui,5,5,8
PEUGEOT 308 III,52180,2023,12,Automatique,Hybrides,Non requis,Oui,5,5,10
PEUGEOT 208 phase 2,14540,2019,40760,Manuelle,Essence,Non requis,Oui,5,5,4
,14540,2019,40760,Manuelle,Essence,Non requis,Oui,5,5,4
CITROEN C3 III,12690,2020,154286,Manuelle,Diesel,Non requis,Oui,5,5,5
RENAULT AUSTRAL,54370,2024,5550,Automatique,Hybrides,Non requis,Oui,5,5,7
MINI MINI III 5P,23010,2021,43030,Manuelle,Essence,Non requis,Non,5,5,7
FIAT 500 X,17740,2020,72716,Manuelle,Diesel,Non requis,Oui,5,5,5
PEUGEOT 308 III,31520,2024,1,Automatique,Essence,Non requis,Oui,5,5,7
RENAULT GRAND SCENIC IV,24170,2020,74694,Manuelle,Diesel,Non requis,Non,5,7,6
RENAULT GRAND SCENIC IV,24170,2020,74694,Manuelle,Diesel,Non requis,Non,5,7,6
OPEL MOKKA II,27120,2022,23488,Manuelle,Diesel,Non requis,Oui,5,5,6
AUDI SQ2 phase 2,48290,2021,59291,Automatique,Essence,Non requis,Non,5,5,19
VOLKSWAGEN PASSAT 8 SW,30870,2020,18184,Manuelle,Diesel,Non requis,Oui,5,5,7
JEEP COMPASS 2,33910,2024,12,Manuelle,Essence,Non requis,Non,5,5,6
,33910,2024,12,Manuelle,Essence,Non requis,Non,5,5,6
RENAULT CAPTUR II,22020,2022,16719,Manuelle,Essence,Non requis,Oui,5,5,5
PORSCHE 911 TYPE 992 CABRIOLET,207080,2020,20160,Automatique,Essence,Non requis,Non,2,4,34
AUDI Q3 II,37690,2020,42460,Automatique,Diesel,Non requis,Oui,5,5,8
BMW SERIE 2 U06 ACTIVE TOURER,36230,2020,5843,Automatique,Essence,Non requis,Non,5,5,7
RENAULT CLIO V,22780,2020,26951,Automatique,Essence,Non requis,Non,5,5,7
,22780,2020,26951,Automatique,Essence,Non requis,Non,5,5,7
RENAULT CLIO 5,24710,2024,12,Manuelle,Essence,Non requis,Non,5,5,5
CITROEN C4 CACTUS phase 2,20720,2021,42862,Manuelle,Essence,Non requis,Non,5,5,6
DS 3 CROSSBACK,43980,2023,11,Automatique,Électrique,Non requis,Non,5,5,4
CITROEN C3 (3E GENERATION),23160,2023,21699,Automatique,Essence,Non requis,Non,5,5,6
VOLKSWAGEN POLO VI,13800,2020,75802,Manuelle,Essence,Non requis,Non,5,5,4
FORD PUMA II,20890,2021,53081,Manuelle,Hybrides,Non requis,Oui,5,5,6
PEUGEOT 208 II,18440,2020,115295,Manuelle,Essence,Non requis,Non,5,5,5
RENAULT SCENIC IV,23470,2019,95726,Automatique,Essence,Non requis,Non,5,5,9
CITROEN C5 X,48000,2024,11,Automatique,Hybrides,Non requis,Non,5,5,10
MINI III 5P phase 2,40320,2023,19349,Automatique,Essence,Non requis,Non,5,5,9
RENAULT CLIO V,19950,2023,26955,Manuelle,Essence,Non requis,Oui,5,5,5
,19950,2023,26955,Manuelle,Essence,Non requis,Oui,5,5,5
TESLA MODEL 3,47860,2022,50665,Automatique,Électrique,Non requis,Oui,5,5,11
VOLKSWAGEN TIGUAN II phase 2,40580,2023,28582,Automatique,Diesel,Non requis,Non,5,5,8
FIAT TIPO II CROSS,24340,2023,25520,Manuelle,Diesel,Non requis,Oui,5,5,7
PEUGEOT 508 II SW,31770,2021,42587,Automatique,Diesel,Non requis,Non,5,5,9
PEUGEOT PARTNER II FOURGON phase 2,14150,2019,97057,Manuelle,Diesel,Requis,Non,4,3,5
,14150,2019,97057,Manuelle,Diesel,Requis,Non,4,3,5
BMW X1 F48 phase 2,31190,2020,55668,Automatique,Essence,Non requis,Oui,5,5,7
MERCEDES GLC COUPE AMG,65960,2020,124254,Automatique,Essence,Non requis,Non,5,5,25
SEAT IBIZA V,17500,2020,35175,Manuelle,Essence,Non requis,Non,5,5,5
LAND ROVER RANGE ROVER VELAR,69440,2020,64200,Automatique,Diesel,Non requis,Non,5,5,19
OPEL MOKKA X,16780,2019,85970,Manuelle,Essence,Requis,Non,5,5,8
PEUGEOT 2008 II,33020,2023,8478,Automatique,Essence,Non requis,Non,5,5,7
DS 7 CROSSBACK,51410,2023,4942,Automatique,Diesel,Non requis,Non,5,5,7
AUDI Q3 II SPORTBACK,46530,2021,52100,Automatique,Diesel,Non requis,Oui,5,5,10
FIAT TIPO 2,20090,2022,26844,Manuelle,Essence,Non requis,Non,5,5,5
BMW X2 F39,29620,2019,110610,Manuelle,Diesel,Requis,Oui,5,5,8
VOLKSWAGEN GOLF VIII,41170,2021,26961,Automatique,Essence,Non requis,Non,5,5,8
,41170,2021,26961,Automatique,Essence,Non requis,Non,5,5,8
PEUGEOT 208 II,18410,2022,24462,Manuelle,Essence,Non requis,Oui,5,5,4
PEUGEOT 208 II,29620,2023,12513,Manuelle,Essence,Non requis,Non,5,5,5
RENAULT CAPTUR II,26850,2023,11,Manuelle,Essence,Non requis,Non,5,5,7
FORD PUMA II,26050,2022,24177,Manuelle,Essence,Non requis,Non,5,5,8
OPEL CORSA VI,26090,2021,21828,Automatique,Électrique,Non requis,Non,5,5,4
,26090,2021,21828,Automatique,Électrique,Non requis,Non,5,5,4
PEUGEOT 408,49580,2024,12,Automatique,Essence,Non requis,Non,5,5,7
PEUGEOT 208 phase 2,14990,2020,32147,Manuelle,Essence,Non requis,Non,5,5,4
CITROEN C3 (3E GENERATION),17700,2023,19264,Manuelle,Essence,Non requis,Non,5,5,4
AUDI RS3 III SPORTBACK,105380,2022,43400,Automatique,Essence,Non requis,Non,5,5,28
PEUGEOT 2008 (2E GENERATION),30210,2024,11,Manuelle,Essence,Non requis,Non,5,5,7
JEEP RENEGADE,26750,2023,24867,Manuelle,Essence,Non requis,Non,5,5,6
SKODA OCTAVIA IV COMBI,31020,2021,54395,Automatique,Diesel,Non requis,Oui,5,5,8
FIAT TIPO 2,20300,2022,18890,Manuelle,Essence,Non requis,Non,5,5,5
BMW X2 F39,51220,2020,84302,Automatique,Essence,Non requis,Non,5,5,19
RENAULT CLIO IV phase 2,13570,2019,49418,Manuelle,Essence,Requis,Oui,5,5,5
FORD TRANSIT IV,22720,2019,109058,Manuelle,Diesel,Requis,Oui,4,3,7
,22720,2019,109058,Manuelle,Diesel,Requis,Oui,4,3,7
RENAULT SCENIC IV,31700,2023,8034,Manuelle,Essence,Non requis,Oui,5,5,7
VOLVO XC40,38920,2021,112185,Automatique,Hybrides,Non requis,Oui,5,5,10
VOLKSWAGEN GOLF 7,21310,2020,87623,Manuelle,Essence,Non requis,Non,5,5,6
VOLKSWAGEN GOLF VIII,27580,2022,55704,Manuelle,Diesel,Non requis,Non,5,5,6
CITROEN GRAND C4 SPACETOURER,25280,2020,100719,Manuelle,Essence,Non requis,Non,5,7,7
,25280,2020,100719,Manuelle,Essence,Non requis,Non,5,7,7
AUDI A1 SPORTBACK phase 2,21580,2019,40848,Manuelle,Essence,Requis,Non,5,5,4
